"","x","y","id"
"1",978975,278819.3,"22"
"2",1040269,278191.2,"22"
"3",1097155,278364.5,"22"
"4",1099456,278370.5,"22"
"5",1115415,278427.2,"22"
"6",1124663,278428.4,"22"
"7",1121377,273630.6,"22"
"8",1120278,270190.9,"22"
"9",1120400,269281.1,"22"
"10",1126577,235396.8,"22"
"11",1127073,234097.1,"22"
"12",1127199,233899.7,"22"
"13",1127443,233514.7,"22"
"14",1127558,233334,"22"
"15",1127749,233155.5,"22"
"16",1128613,232349.9,"22"
"17",1128815,232161.4,"22"
"18",1131747,231114.8,"22"
"19",1132351,229568.7,"22"
"20",1129989,222599.4,"22"
"21",1130073,220837.9,"22"
"22",1130079,220715.4,"22"
"23",1130313,220302.2,"22"
"24",1130672,219668.4,"22"
"25",1130772,219493.3,"22"
"26",1140734,208104,"22"
"27",1140785,192136.4,"22"
"28",1129828,191187.9,"22"
"29",1138951,179842.5,"22"
"30",1118446,152565.8,"22"
"31",1107118,138809,"22"
"32",1106092,137192.5,"22"
"33",1104504,134693.3,"22"
"34",1104457,134619.3,"22"
"35",1093462,114725.2,"22"
"36",1093230,114293.4,"22"
"37",1092846,113582.6,"22"
"38",1092798,113493.7,"22"
"39",1088145,84785.66,"22"
"40",1085414,72927.37,"22"
"41",1082429,55702.93,"22"
"42",1126431,56116.74,"22"
"43",1137509,56234.78,"22"
"44",1159873,56603.27,"22"
"45",1184590,57055.97,"22"
"46",1186451,57088.27,"22"
"47",1205593,57521.35,"22"
"48",1213964,57724.12,"22"
"49",1254412,58795.04,"22"
"50",1264699,59079.8,"22"
"51",1264700,59069.36,"22"
"52",1264765,55625.63,"22"
"53",1263346,49798.98,"22"
"54",1262274,47719.72,"22"
"55",1261710,47659.91,"22"
"56",1260902,47574.26,"22"
"57",1260670,47375.54,"22"
"58",1259225,42218.98,"22"
"59",1257492,35174.3,"22"
"60",1256067,29393.08,"22"
"61",1254687,21533.53,"22"
"62",1269805,-1027.276,"22"
"63",1269952,-1184.121,"22"
"64",1270557,-1829.35,"22"
"65",1276015,-14132.48,"22"
"66",1276022,-14147.87,"22"
"67",1276082,-16190.93,"22"
"68",1275099,-18402.68,"22"
"69",1274846,-19320.54,"22"
"70",1274875,-19920.69,"22"
"71",1277665,-25830.46,"22"
"72",1278527,-27654.1,"22"
"73",1280540,-30173,"22"
"74",1281209,-31009.96,"22"
"75",1281444,-31177.48,"22"
"76",1281769,-31408.28,"22"
"77",1282005,-31576.45,"22"
"78",1282209,-31571.63,"22"
"79",1286643,-31466.09,"22"
"80",1277234,-34884.71,"22"
"81",1272911,-39609.2,"22"
"82",1259680,-47352.6,"22"
"83",1255142,-52357.27,"22"
"84",1255620,-54802.96,"22"
"85",1256463,-57223.55,"22"
"86",1257040,-58299.82,"22"
"87",1257973,-59007.73,"22"
"88",1271407,-66490.33,"22"
"89",1274462,-67055.63,"22"
"90",1276638,-66870.13,"22"
"91",1279016,-65908.93,"22"
"92",1280441,-64844.72,"22"
"93",1281064,-63096.1,"22"
"94",1282442,-56131.74,"22"
"95",1282424,-53438.16,"22"
"96",1289919,-45792.79,"22"
"97",1293321,-44294.44,"22"
"98",1297268,-45703.15,"22"
"99",1299734,-47843.91,"22"
"100",1297601,-48941.13,"22"
"101",1296957,-49512.2,"22"
"102",1296018,-50367.94,"22"
"103",1296011,-52233.99,"22"
"104",1296110,-53612.83,"22"
"105",1301528,-60022.45,"22"
"106",1302576,-60890.57,"22"
"107",1307072,-63440.21,"22"
"108",1308136,-64041.09,"22"
"109",1301225,-74541.5,"22"
"110",1297297,-79898.11,"22"
"111",1291661,-81790.81,"22"
"112",1287416,-79929.58,"22"
"113",1277347,-79176.46,"22"
"114",1275694,-79608.6,"22"
"115",1275934,-82887.47,"22"
"116",1276452,-83862.99,"22"
"117",1281155,-86705.61,"22"
"118",1283404,-87775.48,"22"
"119",1285020,-88155.65,"22"
"120",1287301,-88093.44,"22"
"121",1291863,-92383.85,"22"
"122",1292128,-93047.61,"22"
"123",1291997,-93459.3,"22"
"124",1290230,-92306.79,"22"
"125",1287227,-90496.39,"22"
"126",1278881,-89774.55,"22"
"127",1276959,-90839.63,"22"
"128",1273776,-93289.73,"22"
"129",1272899,-95949.63,"22"
"130",1271549,-105092.9,"22"
"131",1271596,-105626.3,"22"
"132",1272260,-106431.2,"22"
"133",1275036,-108416.2,"22"
"134",1292653,-118669.4,"22"
"135",1295567,-118609.9,"22"
"136",1303079,-118547.5,"22"
"137",1322894,-125152.3,"22"
"138",1327822,-131808.5,"22"
"139",1330260,-135509.2,"22"
"140",1334081,-137938.8,"22"
"141",1337761,-136453.9,"22"
"142",1338476,-136741.1,"22"
"143",1339148,-137452.3,"22"
"144",1340667,-140883.7,"22"
"145",1340673,-140896.7,"22"
"146",1340643,-141023.7,"22"
"147",1340299,-142497.7,"22"
"148",1340278,-142590.4,"22"
"149",1338383,-146517.2,"22"
"150",1335058,-153272.2,"22"
"151",1326041,-158156.4,"22"
"152",1319979,-154068.4,"22"
"153",1306554,-153881.9,"22"
"154",1296340,-141025.5,"22"
"155",1296334,-141019.1,"22"
"156",1296074,-140737.2,"22"
"157",1294827,-139387.9,"22"
"158",1294685,-139233.9,"22"
"159",1293665,-138452.4,"22"
"160",1293637,-138430.4,"22"
"161",1293217,-138255.8,"22"
"162",1290417,-137091.4,"22"
"163",1288342,-136228,"22"
"164",1275039,-130721.7,"22"
"165",1272932,-130060.5,"22"
"166",1272540,-129937.5,"22"
"167",1270498,-129402,"22"
"168",1269709,-129194.9,"22"
"169",1269572,-129178.6,"22"
"170",1269112,-129124,"22"
