state;Rate;Count;Lower;Upper;Pop;StdErr
AL;43.4;4630;42.2;44.7;8245919;0.6
AK;46.8;350;41.8;52.2;1122525;2.6
AZ;38.5;5482;37.4;39.5;12066024;0.5
AR;48.3;3568;46.7;49.9;5661547;0.8
CA;39.2;27406;38.7;39.6;68478617;0.2
CO;33.9;3265;32.7;35.1;10159130;0.6
CT;41.1;4119;39.8;42.4;7656496;0.7
DE;48.4;978;45.4;51.5;1578880;1.6
DC;27.4;142;23;32.5;518118;2.4
FL;43.8;23843;43.2;44.3;34742560;0.3
GA;43.4;6659;42.4;44.5;14481836;0.5
HI;35.3;293;31.3;39.6;699637;2.1
ID;35;1158;33;37.1;3230513;1
IL;41.8;12440;41.1;42.6;25485733;0.4
IN;47.1;7631;46.1;48.2;13988884;0.5
IA;37.4;3457;36.2;38.7;7150685;0.7
KS;39.9;2964;38.5;41.4;6203860;0.7
KY;55.5;6142;54.1;56.9;9519979;0.7
LA;47.7;4284;46.3;49.2;7394641;0.7
ME;48.8;2023;46.6;51;3247782;1.1
MD;45.7;5059;44.5;47;9114549;0.6
MA;45.7;8502;44.7;46.7;14653859;0.5
MI;43.7;10751;42.8;44.5;20892196;0.4
MN;37.5;4939;36.4;38.6;11539341;0.5
MS;45.6;2651;43.9;47.4;4513820;0.9
MO;45.9;7071;44.8;47;12512218;0.6
MT;42.8;1118;40.3;45.4;2104429;1.3
NE;35.2;1736;33.6;37;4061923;0.9
NV;55.8;2616;53.7;58;4475256;1.1
NH;45;1564;42.8;47.3;3134315;1.1
NJ;42;9380;41.2;42.9;17125150;0.4
NM;31.5;1420;29.9;33.2;4038163;0.8
NY;40.4;19056;39.8;41;36785381;0.3
NC;42.6;8073;41.7;43.6;15676989;0.5
ND;31.4;608;28.9;34.1;1480915;1.3
OH;44.7;13888;43.9;45.4;25164874;0.4
OK;47.4;4292;46;48.8;7171766;0.7
OR;48.4;4680;47;49.8;8178506;0.7
PA;39.7;15539;39.1;40.4;27596181;0.3
RI;43.9;1434;41.6;46.3;2495258;1.2
SC;42.6;3799;41.2;44;7141128;0.7
SD;32.9;736;30.5;35.5;1716683;1.2
TN;46;6743;45;47.2;12024259;0.6
TX;39;17262;38.5;39.6;45766664;0.3
UT;16.9;738;15.7;18.2;5488475;0.6
VT;39.1;700;36.3;42.2;1533012;1.5
VA;43.8;6884;42.7;44.8;13788823;0.5
WA;47.7;6862;46.5;48.8;13238164;0.6
WV;51.2;3063;49.4;53.1;4438253;0.9
WI;36.9;5573;35.9;37.9;12466077;0.5
WY;37;476;33.7;40.5;1183117;1.7
