County,Total Air Releases
"Kootenai, ID",51558.24536
"Kosciusko, IN",990971
"Kossuth, IA",93186.1
"La Crosse, WI",121206.5
"La Paz, AZ",5034.6
"LaGrange, IN",66645.923
"LaPorte, IN",380536.9001
"LaSalle, IL",413545.3301
"Labette, KS",103836
"Lac qui Parle, MN",238000.0317
"Lackawanna, PA",30207
"Laclede, MO",65424
"Lafayette, FL",1051
"Lafayette, LA",47140.8
"Lafayette, MS",0
"Lafourche, LA",42087.2
"Lake, FL",94567
"Lake, IL",488731.45
"Lake, IN",3189014.386
"Lake, MN",22373
"Lake, OH",3585337.22
"Lake, SD",22625
"Lamar, AL",0
"Lamar, GA",2391
"Lamar, MS",603415.1448
"Lamar, TX",260553
"Lamb, TX",254799.06
"Lancaster, NE",964221.8874
"Lancaster, PA",772485.9039
"Lancaster, SC",289460.722
"Lander, NV",667.45
"Lane, OR",1241692.448
"Langlade, WI",35227
"Lapeer, MI",14434.6
"Laramie, WY",100017.17
"Larimer, CO",12830.1
"Las Piedras, PR",217776.13
"Latimer, OK",0.203
"Lauderdale, AL",110940.4039
"Lauderdale, MS",32483.36
"Lauderdale, TN",23618.87
"Laurel, KY",2946
"Laurens, GA",182813.7902
"Laurens, SC",70395.126
"Lavaca, TX",14474
"Lawrence, AL",1825680.9
"Lawrence, AR",583.5
"Lawrence, IN",873.8
"Lawrence, KY",7267811.7
"Lawrence, MO",650619.1
"Lawrence, MS",1271349.9
"Lawrence, OH",2676
"Lawrence, PA",1248690.88
"Lawrence, SD",1794
"Lawrence, TN",298147
"Le Flore, OK",190519
"Le Sueur, MN",43473
"Lea, NM",17999.65
"Leake, MS",0
"Leavenworth, KS",8364
"Lebanon, PA",21838.14
"Lee, AL",69977.384
"Lee, FL",15927.64
"Lee, IA",200563.58
"Lee, IL",9232.65
"Lee, MS",75448.35
"Lee, NC",127937.021
"Lee, SC",180097.7
"Lee, TX",121499.4
"Leflore, MS",317404.22
"Lehigh, PA",75368.411
"Lemhi, ID",350.1737
"Lenawee, MI",45898.95
"Lenoir, NC",171217.002
"Leon, FL",3
"Leon, TX",12961.1
"Levy, FL",238783
"Lewis and Clark, MT",0
"Lewis, KY",76284
"Lewis, NY",19466.2
"Lewis, TN",41080
"Lewis, WA",67565.97
"Lewis, WV",182000
"Lexington, SC",1161897.481
"Liberty, FL",51974.55
"Liberty, GA",411725.1433
"Liberty, TX",44673
"Licking, OH",273472.29
"Limestone, AL",3599.13
"Limestone, TX",272118.2
"Lincoln, ID",0
"Lincoln, KY",13428
"Lincoln, LA",213113.37
"Lincoln, ME",0
"Lincoln, MO",1814
"Lincoln, MS",0.5
"Lincoln, MT",0
"Lincoln, NC",24366
"Lincoln, NE",912420
"Lincoln, OR",670745
"Lincoln, SD",39913
"Lincoln, TN",37016
"Lincoln, WI",398462.5
"Lincoln, WY",116622.3
"Linn, IA",742256.2908
"Linn, KS",116526
"Linn, OR",1985508.87
"Litchfield, CT",135311.753
"Little River, AR",1525260.18
"Live Oak, TX",103054.2
"Livingston, IL",6707
"Livingston, LA",120370.37
"Livingston, MI",8894
"Livingston, MO",2278
"Livingston, NY",41
"Logan, AR",86
"Logan, CO",11494.09
"Logan, IL",281
"Logan, KY",80511.6
"Logan, OH",155031
"Lonoke, AR",28596
"Lorain, OH",1665028.447
"Los Angeles, CA",1290290.291
"Loudon, TN",2297826.1
"Loudoun, VA",1644
"Louisa, IA",462303
"Louisa, VA",14
"Lowndes, AL",342918
"Lowndes, GA",1838298.28
"Lowndes, MS",1795314.228
"Lubbock, TX",162026.3
"Lucas, OH",898985.1679
"Luce, MI",25198.55
"Lumpkin, GA",0
"Lunenburg, VA",188555
"Luzerne, PA",334489.3
"Lycoming, PA",39488.42
"Lynchburg City, VA",344394.57
"Lyon, IA",0
"Lyon, KS",261000
"Lyon, KY",0
"Lyon, MN",93838.7
"Lyon, NV",7326.38703
"Macomb, MI",492693.44
"Macon, GA",994187.89
"Macon, IL",2803426.767
"Macon, MO",5735
"Madera, CA",220298.5
"Madison, AL",408647.87
"Madison, AR",5730
"Madison, ID",25.63
"Madison, IL",567061.74
"Madison, IN",56277.87
"Madison, KY",169449.2
"Madison, LA",2555
"Madison, MS",196858
"Madison, NC",0
"Madison, NE",52362.2722
"Madison, NY",4515.312
"Madison, OH",33745
"Madison, TN",78935.374
"Madison, VA",0
"Magoffin, KY",5736
"Mahoning, OH",311309.31
"Major, OK",89
"Manatee, FL",495264.2
"Manati, PR",21753.53
"Manistee, MI",675436.11
"Manitowoc, WI",178922.0033
"Marathon, WI",278365.3632
"Marengo, AL",309052.2953
"Maricao, PR",13.7
"Maricopa, AZ",532937.2702
"Maries, MO",380.1
"Marinette, WI",196971.84
"Marion, AL",360173
"Marion, AR",312607.27
"Marion, FL",84796.1
"Marion, GA",66069.499
"Marion, IA",203987.05
"Marion, IL",113010
"Marion, IN",1235707.194
"Marion, KY",32786
"Marion, MO",66448.1
"Marion, MS",2.4
"Marion, OH",460781.502
"Marion, OR",148030.2643
"Marion, SC",135626
"Marion, TN",434
"Marion, TX",24157
"Marion, WV",224830.49
"Marlboro, SC",804356
"Marquette, MI",1127895.5
"Marshall, AL",149554
"Marshall, IA",49589.5
"Marshall, IL",333532.22
"Marshall, IN",960733.6
"Marshall, KS",2765
"Marshall, KY",2439518.65
"Marshall, MS",31800
"Marshall, OK",0.76
"Marshall, TN",69081
"Marshall, WV",4409935.838
"Martin, FL",189600.708
"Martin, IN",10309.6
"Martin, MN",362979
"Martin, NC",1552707.2
"Mason, IL",126602.3
"Mason, KY",4677951.5
"Mason, MI",24858
"Mason, WA",116717.1
"Mason, WV",5943692.94
"Massac, IL",231927.312
"Matagorda, TX",182998
"Maui, HI",3277.33
"Maury, TN",573791.43
"Mayaguez, PR",9683.6
"Mayes, OK",154760.91
"McCook, SD",12411
"McCormick, SC",1.9
"McCracken, KY",1128380.28
"McCulloch, TX",19472
"McCurtain, OK",2956556.34
"McDonald, MO",5
"McDonough, IL",7337
"McDowell, NC",74452.5537
"McDuffie, GA",207181.6
"McHenry, IL",88820.4123
"McHenry, ND",505626
"McKean, PA",704774.062
"McKinley, NM",147311.49
"McLean, IL",338696.3
"McLean, KY",0
"McLean, ND",256226.9
"McLennan, TX",31369.7199
"McLeod, MN",250449.4
"McMinn, TN",749114.2
"McNairy, TN",861926
"McPherson, KS",169833.1
"Meade, KY",9819
"Mecklenburg, NC",186802.9344
"Mecklenburg, VA",40067.9
"Mecosta, MI",57357
"Medina, OH",159046.94
"Medina, TX",0
"Meeker, MN",16921
"Meigs, TN",0.12
"Menominee, MI",71862.6
"Merced, CA",199577
"Mercer, KY",2850340.4
"Mercer, MO",0
"Mercer, ND",470954.2
"Mercer, NJ",2816681.4
"Mercer, OH",0
"Mercer, PA",183424.88
"Mercer, WV",18503.021
"Meriwether, GA",86199
"Merrick, NE",14979
"Merrimack, NH",2778487.32
"Mesa, CO",103077.7667
"Metcalfe, KY",36184.1
"Miami, IN",24025
"Miami, OH",29834.08
"Miami-Dade, FL",365845.48
"Middlesex, CT",22283.77
"Middlesex, MA",281838.6692
"Middlesex, NJ",341982.0623
"Midland, MI",456342.5
"Midland, TX",93177.92
"Mifflin, PA",4290.18
"Milam, TX",905834.081
"Millard, UT",171302.2
"Miller, AR",18.2
"Milwaukee, WI",1249737.533
"Mineral, NV",39.56
"Mineral, WV",1210
"Minidoka, ID",132845
"Minnehaha, SD",149286.032
"Mississippi, AR",922358.44
"Mississippi, MO",427
"Missoula, MT",1245448.3
"Mitchell, GA",0
"Mitchell, KS",0
"Mitchell, NC",19056.8
"Mobile, AL",2111813.55
"Moffat, CO",210204.4
"Mohave, AZ",45696.3554
"Moniteau, MO",0
"Monmouth, NJ",720.8
"Monongalia, WV",2381053.1
"Monroe, AL",1908110.679
"Monroe, FL",40.69
"Monroe, GA",986157.8
"Monroe, IA",385668
"Monroe, IL",159
"Monroe, IN",94789
"Monroe, KY",0
"Monroe, MI",14596382.56
"Monroe, MS",331192.13
"Monroe, NY",2542986.58
"Monroe, OH",487002
"Monroe, PA",2203.05
"Monroe, TN",675331.6
"Monroe, WI",170.1
"Monroe, WV",13206
"Montcalm, MI",0
"Monterey, CA",503.39
"Montgomery, AL",106305.436
"Montgomery, IA",92
"Montgomery, IL",1784896.8
"Montgomery, IN",110212.99
"Montgomery, KS",424228.56
"Montgomery, KY",147050
"Montgomery, MD",3275187.12
"Montgomery, MO",28684.2
"Montgomery, NC",101665.884
"Montgomery, NY",33281
"Montgomery, OH",860009.42
"Montgomery, PA",397747.6498
"Montgomery, TN",23549.218
"Montgomery, TX",378568.965
"Montgomery, VA",142427.892
"Montour, PA",4595105
"Montrose, CO",45284.58346
"Moore, NC",1255
"Moore, TN",1
"Moore, TX",59396.81
"Morehouse, LA",1014984.5
"Morgan, AL",2144389.946
"Morgan, CO",122796.95
"Morgan, GA",39830
"Morgan, IL",676396.24
"Morgan, IN",1019009.1
"Morgan, OH",440
"Morgan, TN",0
"Morgan, UT",33036.741
"Morris, NJ",29066.2
"Morris, TX",10595.2
"Morrison, MN",381595.85
"Morrow, OH",2958
"Morrow, OR",132791.36
"Morton, ND",362335.12
"Moultrie, IL",187618.07
"Mower, MN",107065.3
"Muhlenberg, KY",547934.7
"Multnomah, OR",562367.5542
"Murray, GA",1360
"Muscatine, IA",485578.98
"Muscogee, GA",63764.48701
"Muskegon, MI",752021.9579
"Muskingum, OH",50624.1
"Muskogee, OK",669498.04
"Nacogdoches, TX",42604.33
"Naguabo, PR",0
"Napa, CA",12.2
"Nash, NC",849
"Nassau, FL",3911768.35
"Nassau, NY",19652
"Natchitoches, LA",588310.8
"Natrona, WY",44785.6
"Navajo, AZ",602946.23
"Navarro, TX",26883.55985
"Nelson, KY",4675
"Nemaha, NE",24578
"Neosho, KS",257991.1
"Neshoba, MS",0
"Nevada, AR",42390.3
"New Castle, DE",2354976.803
"New Hanover, NC",4374131.89
"New Haven, CT",416747.8295
"New London, CT",126292.25
"New Madrid, MO",517772
"New York, NY",1.28
"Newaygo, MI",4892
"Newberry, SC",493271
"Newport News City, VA",260158.5
"Newport, RI",27751.01
"Newton, GA",19489.75
"Newton, IN",52600.00002
"Newton, MO",378.1
"Newton, MS",19944.35
"Nez Perce, ID",543675.9351
"Niagara, NY",289935.77
"Nicholas, WV",121528
"Nicollet, MN",7280.89
"Noble, IN",166817.2
"Noble, OH",24050
"Noble, OK",211795.5
"Nobles, MN",299629
"Nodaway, MO",295
"Nolan, TX",219.68
"Norfolk City, VA",85428.78
"Norfolk, MA",19712.63483
"Northampton, NC",219986.43
"Northampton, PA",3766198.546
"Northumberland, PA",308513.71
"Northumberland, VA",52.9
"Northwest Arctic, AK",239417.43
"Nottoway, VA",129.6
"Nowata, OK",0
"Noxubee, MS",48393.2
"Nueces, TX",1109746.498
"Nye, NV",193.974
"O'Brien, IA",90093
"Oakland, MI",756881.5418
"Obion, TN",6119.949
"Ocean, NJ",7137.7
"Oceana, MI",29
"Oconee, GA",3.6
"Oconee, SC",11592.1
"Oconto, WI",100600
"Ogemaw, MI",326
"Ogle, IL",756058.396
"Ohio, KY",321915.8
"Ohio, WV",4073
"Okaloosa, FL",18928.9
"Okeechobee, FL",0
"Oklahoma, OK",602163.8192
"Oktibbeha, MS",73
"Oliver, ND",85157
"Olmsted, MN",510033.4523
"Oneida, NY",77125.564
"Oneida, WI",101813.1
"Onondaga, NY",49787.781
"Onslow, NC",27644.4
"Ontario, NY",1062.368
"Ontonagon, MI",332158.585
"Orange, CA",368039.4782
"Orange, FL",990846.706
"Orange, NC",6098.48
"Orange, NY",1519294.092
"Orange, TX",1511361.195
"Orange, VA",7
"Orangeburg, SC",1254687.056
"Orleans, LA",116278.2198
"Orleans, NY",0
"Orleans, VT",3.49
"Osage, MO",207083
"Osage, OK",650600
"Osceola, FL",11596.38
"Osceola, IA",6582.1
"Osceola, MI",79614
"Oswego, NY",33731.29
"Otero, CO",1156.3
"Otero, NM",15.3
"Otoe, NE",166032
"Ottawa, KS",50635
"Ottawa, MI",2680102.404
"Ottawa, OH",117253.93
"Ottawa, OK",236860
"Otter Tail, MN",32909.1
"Ouachita, AR",5.2
"Ouachita, LA",886909.3
"Outagamie, WI",1081033.48
"Owyhee, ID",61.89
"Oxford, ME",518736
"Ozaukee, WI",84949.00005
"Palm Beach, FL",532794.305
"Palo Alto, IA",101811
"Palo Pinto, TX",1609
"Panola, MS",175476
"Panola, TX",49445.1
"Park, WY",2.377
"Parker, TX",152935
"Parmer, TX",0
"Pasco, FL",158112.3
"Passaic, NJ",67609.356
"Patrick, VA",9.721
"Paulding, OH",70173.413
"Payette, ID",0.096
"Payne, OK",86715.71
"Peach, GA",25265
"Pearl River, MS",11563
"Pembina, ND",15046.8
"Pemiscot, MO",126897.5
"Pend Oreille, WA",1203.88
"Pender, NC",0
"Pendleton, KY",900
"Pendleton, WV",61161.66
"Pennington, MN",0
"Pennington, SD",33954.486
"Penobscot, ME",287693.32
"Penuelas, PR",17288.65
"Peoria, IL",775399.427
"Perkins, NE",4195
"Perry, AL",847.2
"Perry, IL",11549
"Perry, IN",138234
"Perry, KY",7.28
"Perry, MO",89882
"Perry, MS",1280127.3
"Perry, OH",56069
"Pershing, NV",12429.1012
"Person, NC",14692051.43
"Petersburg City, VA",11369
"Pettis, MO",28623.91
"Philadelphia, PA",301544.7049
"Phillips, AR",5449.69
"Phillips, KS",27857.09
"Piatt, IL",47065
"Pickaway, OH",192389.98
"Pickens, SC",2435.8019
"Pierce, GA",18428
"Pierce, NE",22483.91
"Pierce, WA",991299.955
"Pierce, WI",0
"Pike, AL",246624
"Pike, IL",750.08
"Pike, IN",1641810.32
"Pike, MO",452641
"Pike, MS",29066
"Pike, OH",61547
"Pima, AZ",246421.6659
"Pinal, AZ",75769.5
"Pinellas, FL",437209.6
"Pipestone, MN",250390
"Pitkin, CO",0
"Pitt, NC",205357
"Pittsburg, OK",623
"Pittsylvania, VA",176760.767
"Placer, CA",54878
"Plaquemines, LA",182690.55
"Platte, MO",144593.8207
"Platte, NE",33146.58
"Platte, WY",52858
"Pleasants, WV",1014866.76
"Plumas, CA",214
"Plymouth, IA",10
"Plymouth, MA",58641.14
"Pocahontas, IA",49890.95
"Pointe Coupee, LA",645534.75
"Polk, AR",0
"Polk, FL",1014720.21
"Polk, GA",177768
"Polk, IA",797811.73
"Polk, MN",117465
"Polk, OR",52894.0112
"Polk, TN",610
"Polk, TX",146224
"Ponce, PR",50084.31
"Pontotoc, OK",16631.4
"Pope, AR",20242.91
"Portage, OH",145045.1596
"Portage, WI",143648.48
"Porter, IN",289693.0288
"Portsmouth City, VA",495962.5129
"Posey, IN",1443277.1
"Pottawatomie, KS",325794.9
"Pottawatomie, OK",47845
"Pottawattamie, IA",1435802
"Potter, PA",502
"Potter, TX",319843.59
"Powell, KY",49795.98
"Power, ID",42418.79
"Poweshiek, IA",26783
"Preble, OH",6193
"Prentiss, MS",0
"Preston, WV",897107.421
"Price, WI",157616
"Prince Edward, VA",0
"Prince George's, MD",4137292.89
"Prince George, VA",44.35
"Prince William, VA",19931.62
"Providence, RI",80907.09082
"Prowers, CO",56189
"Pueblo, CO",161498.92
"Pulaski, AR",99012.438
"Pulaski, GA",22995
"Pulaski, IL",28.687
"Pulaski, KY",1912150.67
"Pulaski, MO",874.7
"Pulaski, VA",8006.517
"Pushmataha, OK",0
"Putnam, FL",1763286.8
"Putnam, GA",9573239.1
"Putnam, IL",98061.5393
"Putnam, IN",79907
"Putnam, MO",0
"Putnam, NY",2592
"Putnam, WV",16969694.94
"Queens, NY",14166.79
"Quitman, MS",342909
"Racine, WI",32491.13
"Radford City, VA",16500.1
"Raleigh, WV",0
"Ralls, MO",73079.843
"Ramsey, MN",531416.4543
"Ramsey, ND",77657
"Randall, TX",295201
"Randolph, AL",19296
"Randolph, AR",21681
"Randolph, IL",496864.7
"Randolph, IN",0
"Randolph, MO",296008.97
"Randolph, NC",78394.7
"Randolph, WV",1536.02
"Rankin, MS",2533.6041
"Ransom, ND",402262
"Rapides, LA",1257677.01
"Ravalli, MT",9775
"Red River, TX",0
"Red Willow, NE",28.71
"Redwood, MN",190
"Reno, KS",52540
"Rensselaer, NY",29523.879
"Renville, MN",154.2
"Reynolds, MO",19718.89
"Rhea, TN",95809.3987
"Rice, KS",986
"Rice, MN",67624
"Richland, MT",709.005
"Richland, ND",63265
"Richland, OH",159366.22
"Richland, SC",6758508.19
"Richland, WI",15.52
"Richmond City, VA",201171.0803
"Richmond, GA",2268022.986
"Richmond, NC",11097.0021
"Richmond, VA",677
"Rio Grande, CO",0
"Ripley, IN",16580
"Riverside, CA",114627.09
"Roane, TN",3862566.046
"Roane, WV",4.88
"Roanoke City, VA",19729.93829
"Roanoke, VA",3939.278
"Roberts, SD",20595.49
"Robertson, TN",36256
"Robertson, TX",4972.96
"Robeson, NC",1006531.8
"Rock Island, IL",327105.8572
"Rock, MN",5540.91
"Rock, WI",180375.45
"Rockbridge, VA",7.85
"Rockdale, GA",432.26
"Rockingham, NC",1546641.28
"Rockingham, NH",281545.2232
"Rockingham, VA",47829.6
"Rockland, NY",1207186.12
"Rockwall, TX",0
"Rogers, OK",310362.617
"Roosevelt, NM",1250
"Roseau, MN",10249
"Rosebud, MT",117054
"Ross, OH",665340.9
"Routt, CO",26682.64
"Rowan, KY",15212
"Rowan, NC",1886017.746
"Rush, IN",13.301
"Rush, KS",133850
"Rusk, TX",452112.555
"Russell, AL",1503100.42
"Russell, KS",14060.65
"Russell, KY",2688.7
"Russell, VA",2091880.5
"Rutherford, NC",3685163.063
"Rutherford, TN",769954.4
"Rutland, VT",1759
"Sabana Grande, PR",0
"Sabine, LA",95560.68
"Sabine, TX",69183.84
"Sac, IA",7298
"Sacramento, CA",83988.35
"Sagadahoc, ME",12099
"Saginaw, MI",77205.1
"Saipan, MP",4181.45
"Salem, NJ",639074.42
"Salinas, PR",40906.6
"Saline, AR",50738.4
"Saline, KS",43128.4
"Saline, MO",52197.57
"Saline, NE",303
"Salt Lake, UT",204660.3941
"Saluda, SC",0
"Sampson, NC",29739.24
"San Benito, CA",1008.889
"San Bernardino, CA",756661.7876
"San Diego, CA",193198.0015
"San Francisco, CA",9394.2
"San German, PR",32909
"San Joaquin, CA",277073.3371
"San Juan, NM",292528.53
"San Juan, PR",519.8
"San Juan, UT",0
"San Lorenzo, PR",1607
"San Luis Obispo, CA",23586.68
"San Mateo, CA",9504.5
"San Patricio, TX",33736.93
"Sandoval, NM",13569.4
"Sandusky, OH",474856.23
"Sangamon, IL",955991
"Sanilac, MI",44620
"Santa Barbara, CA",760
"Santa Clara, CA",144650.3663
"Santa Cruz, CA",191.92
"Santa Rosa, FL",46500
"Sarasota, FL",10025
"Saratoga, NY",195892.6748
"Sargent, ND",11553
"Sarpy, NE",549.641
"Sauk, WI",90048.6
"Sawyer, WI",243826
"Schenectady, NY",156356.509
"Schleicher, TX",17220
"Schley, GA",0
"Schoolcraft, MI",170700.0748
"Schuyler, NY",67644.07
"Schuylkill, PA",378901.6736
"Scioto, OH",427618.41
"Scotland, NC",395270.907
"Scott, AR",0
"Scott, IA",420959.056
"Scott, IN",8902.8
"Scott, KY",331695
"Scott, MN",14121.2
"Scott, MO",103600
"Scott, MS",0
"Scott, TN",3386.9
"Scott, VA",2
"Scotts Bluff, NE",61.54
"Screven, GA",265
"Searcy, AR",6571
"Sebastian, AR",88726.283
"Sedgwick, KS",1346977.449
"Seminole, FL",876.77
"Seminole, OK",72670.1
"Seneca, NY",71296.5
"Seneca, OH",142435.15
"Sequatchie, TN",515
"Sequoyah, OK",57843.78
"Sevier, AR",3400
"Sevier, TN",260
"Sevier, UT",0.198576
"Seward, KS",0
"Seward, NE",5
"Shasta, CA",45732.11897
"Shawano, WI",5578.24
"Shawnee, KS",1216260
"Sheboygan, WI",453321.125
"Shelby, AL",4276011.02
"Shelby, IL",11475
"Shelby, IN",784254
"Shelby, KY",5905
"Shelby, OH",168272.8
"Shelby, TN",3369974.804
"Shelby, TX",11.39
"Shenandoah, VA",132048.88
"Sherburne, MN",173619.3
"Sherman, KS",57445
"Shiawassee, MI",6325
"Shoshone, ID",28401.13
"Sibley, MN",42530.7
"Silver Bow, MT",250
"Simpson, KY",1252391
"Simpson, MS",0
"Sioux, IA",21238.61
"Siskiyou, CA",26093
"Skagit, WA",196989.13
"Smith, KS",12525
"Smith, MS",321151.5
"Smith, TN",39180
"Smith, TX",67368.08
"Smyth, VA",112640.6675
"Snohomish, WA",453137.531
"Snyder, PA",1905778
"Solano, CA",299857.6
"Somerset, MD",0
"Somerset, ME",394940.965
"Somerset, NJ",5465.5905
"Somerset, PA",14278.2361
"Sonoma, CA",506.45
"Southampton, VA",174032.15
"Southeast Fairbanks, AK",155
"Spalding, GA",277.92
"Spartanburg, SC",1487695.59
"Spencer, IN",2940219.9
"Spink, SD",14537.9
"Spokane, WA",162288.4918
"Spotsylvania, VA",0
"St Bernard, LA",503362.16
"St Charles, LA",1908919.394
"St Charles, MO",2178346.42
"St Clair, AL",64254.06
"St Clair, IL",899694.19
"St Clair, MI",3437713.412
"St Croix, VI",278408
"St Croix, WI",6835
"St Francois, MO",11867.64
"St Helena, LA",580
"St James, LA",449206.23
"St John the Baptist, LA",454245.05
"St Johns, FL",66000
"St Joseph, IN",425246.32
"St Joseph, MI",168918.27
"St Landry, LA",52013
"St Lawrence, NY",1019356
"St Louis City, MO",645039.0458
"St Louis, MN",170763.57
"St Louis, MO",718422.12
"St Lucie, FL",342967
"St Martin, LA",58000
"St Mary, LA",337234.035
"St Tammany, LA",21979
"St Thomas, VI",3969.46
"Stafford, VA",28.3
"Stanislaus, CA",81305.97
"Stanly, NC",30962
"Stanton, NE",9866.366
"Stark, IL",0
"Stark, ND",124431.1
"Stark, OH",193739.16
"Starke, IN",0
"Ste Genevieve, MO",125982.28
"Stearns, MN",29700.58713
"Steele, MN",117913
"Stephens, GA",1380.12
"Stephens, OK",5
"Stephenson, IL",158.1143
"Steuben, IN",893
"Steuben, NY",46507.4
"Stevens, MN",16123.3
"Stevens, WA",472
"Stewart, TN",420364
"Stillwater, MT",21713.7
"Stoddard, MO",111359.42
"Stokes, NC",12075445.47
"Stone, AR",14.4
"Stone, MS",41.7
"Storey, NV",49.67
"Story, IA",163173.09
"Strafford, NH",24733.0575
"Stutsman, ND",29257
"Suffolk City, VA",6618
"Suffolk, MA",346458.711
"Suffolk, NY",180528.765
"Sullivan, IN",494122.8
"Sullivan, MO",0
"Sullivan, NH",785
"Sullivan, NY",15.064
"Sullivan, TN",2718673.17
"Summit, OH",383923.0077
"Sumner, TN",486278.5
"Sumter, AL",2128
"Sumter, FL",37319
"Sumter, GA",111235.064
"Sumter, SC",43835.4
"Sunflower, MS",6843.97
"Surry, NC",599479.0595
"Sussex, DE",3375734.58
"Sussex, NJ",16204
"Sussex, VA",0
"Sutton, TX",352
"Suwannee, FL",1028
"Swain, NC",15846
"Sweet Grass, MT",7863.403
"Sweetwater, WY",322017.6827
"Swift, MN",6532
"Switzerland, IN",14000
"Talbot, MD",0
"Talladega, AL",753903
"Tallapoosa, AL",101816
"Tama, IA",0.1372181
"Taney, MO",0.5331
"Tangipahoa, LA",99393
"Tarrant, TX",604273.0998
"Tate, MS",0
"Taylor, FL",1438748.31
"Taylor, GA",0
"Taylor, KY",0
"Taylor, TX",67615.07
"Taylor, WV",0
"Tazewell, IL",797947.1903
"Tazewell, VA",40
"Tehama, CA",470
"Teller, CO",279.6
"Terrebonne, LA",57491.6
"Terrell, GA",187256
"Terry, TX",0
"Texas, MO",0.041
"Texas, OK",0
"Thayer, NE",1120
"Thomas, GA",6719
"Thurston, WA",298944
"Tift, GA",123
"Tillamook, OR",21.73
"Tioga, NY",2111.74979
"Tioga, PA",674.98727
"Tippah, MS",43.49
"Tippecanoe, IN",464931
"Tipton, IN",1.13
"Tipton, TN",1171.425828
"Tishomingo, MS",141432
"Titus, TX",2603806.032
"Toa Baja, PR",1104.8
"Todd, KY",4.7
"Todd, MN",4201.51
"Tolland, CT",16054.857
"Tom Green, TX",115215
"Tompkins, NY",79566
"Tooele, UT",4576703.364
"Toombs, GA",0
"Traill, ND",866.47
"Travis, TX",46726.5107
"Trempealeau, WI",26521.29263
"Trimble, KY",49220.3
"Troup, GA",74902.1549
"Trumbull, OH",526672.214
"Tucker, WV",544.8
"Tulare, CA",15677.6
"Tulsa, OK",522078.1674
"Tunica, MS",737
"Turner, GA",3347
"Turner, SD",2982.4
"Tuscaloosa, AL",165873.34
"Tuscarawas, OH",184518.79
"Tuscola, MI",57250
"Twin Falls, ID",54200.1
"Tyler, WV",445392
"Uinta, WY",4337.5
"Uintah, UT",53746.719
"Ulster, NY",2.7
"Umatilla, OR",53
"Unicoi, TN",56237
"Union, AR",758660.82
"Union, FL",0
"Union, IA",362840
"Union, IN",7900
"Union, KY",12341
"Union, MS",9526
"Union, NC",38072.14513
"Union, NJ",216508.267
"Union, OH",221174.911
"Union, OR",231678
"Union, PA",194.65
"Union, SC",7590
"Union, SD",3200
"Union, TN",42261.7
"Upshur, TX",77067
"Upshur, WV",5
"Upson, GA",23924
"Upton, TX",396
"Utah, UT",92290.02003
"Valdez-Cordova, AK",0
"Valencia, NM",8320
"Valley, NE",3095
"Van Buren, MI",9798
"Van Wert, OH",304721
"Vance, NC",269
"Vanderburgh, IN",89011.70475
"Vega Alta, PR",308.1
"Vega Baja, PR",66.4
"Venango, PA",89136.7
"Ventura, CA",17672.07795
"Vermilion, IL",3790468.9
"Vermilion, LA",20254.68
"Vermillion, IN",2751964
"Vernon, LA",147.5
"Vernon, MO",94965
"Vernon, WI",612600.79
"Victoria, TX",452837
"Vigo, IN",1397229.648
"Vinton, OH",0
"Virginia Beach City, VA",12979.1
"Volusia, FL",599845.94
"Wabash, IN",373990.501
"Wabasha, MN",21786
"Wadena, MN",10972
"Wake, NC",16977.01
"Wakulla, FL",0
"Waldo, ME",1219.7907
"Walker, AL",3154291.7
"Walker, GA",33426.9
"Walker, TX",14866.98
"Walla Walla, WA",413068
"Waller, TX",10110.525
"Walton, FL",0
"Walton, GA",297.02
"Walworth, WI",46716
"Wapello, IA",310616.4
"Ward, TX",0
"Ware, GA",266074
"Warren, GA",2.9
"Warren, KY",302652.17
"Warren, MO",6659
"Warren, MS",1818029.096
"Warren, NJ",74504
"Warren, NY",107820.05
"Warren, OH",64728.87
"Warren, PA",78091.645
"Warren, TN",12.3
"Warren, VA",50320.61
"Warrick, IN",3233604.34
"Wasco, OR",7.03
"Waseca, MN",7971
"Washakie, WY",55321
"Washington, AL",1394985
"Washington, AR",136698.78
"Washington, GA",60.427
"Washington, IA",2622
"Washington, IL",13850
"Washington, IN",10750
"Washington, LA",1379286.5
"Washington, MD",441536.4
"Washington, ME",527187
"Washington, MN",345798.5
"Washington, MO",300
"Washington, MS",14642.7904
"Washington, NE",304067.2127
"Washington, NY",902
"Washington, OH",10482066.15
"Washington, OK",16
"Washington, OR",65427.279
"Washington, PA",368566.7
"Washington, RI",32105.92791
"Washington, TN",42046.0008
"Washington, TX",0
"Washington, UT",33457.287
"Washington, VA",39461
"Washington, VT",0
"Washington, WI",54257
"Washoe, NV",401861
"Washtenaw, MI",49306.98
"Watauga, NC",1874
"Watonwan, MN",0
"Waukesha, WI",193125.7488
"Waupaca, WI",138892
"Waushara, WI",11.69
"Wayne, GA",3236101.59
"Wayne, IN",477017.9114
"Wayne, KY",10.6
"Wayne, MI",4932395.238
"Wayne, MO",255
"Wayne, MS",31318
"Wayne, NC",2105004.45
"Wayne, NY",168584.71
"Wayne, OH",713435.0041
"Wayne, TN",25017
"Wayne, WV",50498.98
"Weakley, TN",55531
"Webb, TX",8800
"Weber, UT",23206.2
"Webster, IA",72692.73
