status_id,num_like,num_love,num_wow,num_haha,num_sad,num_angry
5281959998_10150970819319999,260,15,6,0,1,0
5281959998_10150970962724999,853,81,12,1,0,0
5281959998_10150970976104999,376,8,100,0,462,2
5281959998_10150970858579999,1550,39,20,2,292,5
5281959998_10150970922789999,9488,62,120,706,1276,113
5281959998_1781201702097344,685,41,58,99,72,290
5281959998_10150971136579999,11853,467,102,640,94,52
5281959998_10150971232154999,1159,14,260,507,53,88
5281959998_10150970784199999,755,16,16,0,2,0
5281959998_10150971141279999,967,33,200,1584,59,495
5281959998_10150971123009999,23400,604,307,295,364,2436
5281959998_10150970793394999,134,9,1,0,0,0
5281959998_10150970922129999,129,2,4,2,0,0
5281959998_10150971126669999,2430,25,206,15,309,94
5281959998_10150970956149999,3210,24,68,209,848,29
5281959998_10150971077544999,1266,148,11,0,0,0
5281959998_10150970577249999,210,21,4,0,0,0
5281959998_10150971020494999,344,9,27,35,10,194
5281959998_10150971043029999,2460,323,128,155,167,1957
5281959998_10150970916849999,684,13,19,21,118,218
5281959998_10150970911759999,527,35,3,8,1,1
5281959998_10150970597694999,9539,1273,101,377,1,1
5281959998_10150970615529999,435,22,0,2,2,0
5281959998_10150970965239999,11984,1781,8,4,2148,4
5281959998_10150970828064999,6056,288,25,24,487,27
5281959998_1781132268770954,351,9,7,1,6,1
5281959998_10150970889994999,781,107,15,1,0,0
5281959998_10150970687049999,841,45,98,2,2,1
5281959998_10150970838629999,600,23,46,0,0,1
5281959998_10150970752689999,13759,1085,112,1723,6,22
5281959998_10150970801464999,4177,230,547,18,16,1
5281959998_10150970616999999,235,19,3,1,0,0
5281959998_10150970764384999,95,9,2,1,0,0
5281959998_10150970694079999,2723,50,612,1317,258,5361
5281959998_10150970744544999,452,13,16,135,36,223
5281959998_10150969737234999,2714,215,9,7,2,1
5281959998_10150970601884999,185,0,48,5,150,18
5281959998_10150970658139999,203,4,25,3,9,12
5281959998_10150970684044999,1326,288,22,12,5,7
5281959998_10150970566544999,230,20,0,0,19,0
5281959998_10150970610129999,6274,60,115,217,96,759
5281959998_10150970572119999,3063,289,31,7,0,5
5281959998_10150970517394999,3190,72,18,48,30,11
5281959998_10150970516449999,2134,22,205,30,73,291
5281959998_10150970553619999,684,31,125,410,255,1949
5281959998_10150970526789999,4976,75,1248,1855,174,211
5281959998_10150969737554999,348,29,53,20,250,24
5281959998_10150970480144999,282,26,17,76,5,4
5281959998_10150970451049999,5386,31,360,78,3744,8371
5281959998_10150970419954999,431,4,164,22,3,119
5281959998_10150970415284999,183,6,4,8,33,34
5281959998_10150970408449999,164,4,10,3,36,73
5281959998_10150970378869999,109,3,1,2,14,10
5281959998_10150970073639999,845,4,29,25,48,362
5281959998_10150966321144999,1488,106,252,2,4,1
5281959998_10150969679264999,177,2,2,0,25,5
5281959998_10150969423474999,1468,20,31,80,170,133
5281959998_10150969441594999,874,197,3,2,525,2
5281959998_10150969678909999,2555,408,9,2,108,1
5281959998_10150969880544999,534,3,52,5,432,134
5281959998_10150970201399999,25485,1644,227,99,17,58
5281959998_10150970138309999,6080,955,6,4,1767,4
5281959998_10150969526024999,294,19,9,1,1,0
5281959998_10150970079914999,6181,387,20,32,316,23
5281959998_10150970034694999,662,13,47,17,539,2149
5281959998_10150969720839999,9812,1016,73,2,1,0
5281959998_10150969813049999,2558,12,55,54,612,384
5281959998_10150969978709999,4516,797,11,1,529,10
5281959998_10150969917909999,2089,67,292,101,107,978
5281959998_10150969588069999,1014,78,0,10,1,1
5281959998_10150969765949999,153,5,7,8,29,36
5281959998_10150969712544999,1697,50,8,67,29,25
5281959998_10150969786259999,3354,40,280,14,370,206
5281959998_10150969650174999,1658,9,58,26,514,1548
5281959998_10150969646674999,225,3,5,9,112,38
5281959998_10150969621639999,204,4,5,7,68,145
5281959998_10150969691094999,11369,657,178,4,3,2
5281959998_10150969714199999,2823,188,115,0,2,10
5281959998_10150969511494999,697,6,42,19,4,7
5281959998_10150969711689999,73,11,0,0,0,0
5281959998_10150969564154999,108,3,2,1,0,0
5281959998_10150969547894999,397,3,22,0,105,1
5281959998_10150969593659999,85,1,3,0,0,0
5281959998_10150969614754999,5287,230,425,5,12715,27
5281959998_10150969493744999,374,3,16,21,6,7
5281959998_10150969550684999,126,10,7,0,3,1
5281959998_10150969481694999,270,7,8,8,55,151
5281959998_10150969545634999,620,29,8,2,345,16
5281959998_10150969554179999,257,16,1,0,14,2
5281959998_10150969532739999,482,30,17,0,0,0
5281959998_10150969477144999,1658,17,10,6,465,58
5281959998_10150969436714999,422,12,7,0,491,374
5281959998_10150969445654999,7416,38,298,93,2301,8689
5281959998_10150969451684999,1382,440,17,13,899,24
5281959998_10150969410789999,46,1,1,5,0,0
5281959998_10150969438994999,967,48,35,2,0,0
5281959998_10150969261389999,319,15,15,2,4,0
5281959998_10150969393214999,226,6,4,0,0,0
5281959998_10150969292879999,161,4,6,4,75,94
5281959998_10150969301804999,1670,49,7,23,131,23
5281959998_10150969264789999,1486,16,205,109,33,6
5281959998_10150969250679999,204,4,7,3,50,24
5281959998_10150969210314999,555,3,15,19,199,309
5281959998_10150969184144999,624,38,71,25,634,2364
5281959998_10150969179029999,3982,538,149,17,44,15
5281959998_10150968350879999,198,2,12,6,20,4
5281959998_10150966310439999,339,18,9,0,1,0
5281959998_10150968425649999,114,3,11,1,0,2
5281959998_10150966178304999,582,7,29,2,1,1
5281959998_10150968706684999,3873,27,56,102,2117,97
5281959998_10150967555134999,624,10,73,1,2,4
5281959998_10150966182679999,198,3,3,17,3,0
5281959998_10150968537869999,702,23,3,3,12,3
5281959998_10150968881099999,3169,165,180,83,1376,5338
5281959998_10150968527219999,1405,48,47,511,221,567
5281959998_10150968696709999,233,18,4,0,1,0
5281959998_10150965971564999,717,47,7,1,1,0
5281959998_10150965986449999,362,19,13,0,0,0
5281959998_10150968663529999,1330,56,27,2,0,1
5281959998_10150968440044999,724,29,3,35,3,0
5281959998_10150968596629999,3313,445,10,298,2,2
5281959998_10150968591749999,337,10,66,14,36,120
5281959998_10150968619949999,2189,80,141,1432,175,1063
5281959998_10150968581799999,1274,38,222,1736,79,2225
5281959998_10150968562704999,1250,164,4,2,1073,1
5281959998_10150967765424999,6409,319,44,68,49,979
5281959998_10150966324819999,877,17,140,1,0,0
5281959998_10150968512669999,3122,278,8,91,10,25
5281959998_10150968486734999,385,4,7,4,94,57
5281959998_10150968433224999,109,2,1,6,0,0
5281959998_10150966305704999,157,3,0,2,0,0
5281959998_10150968411199999,3012,328,45,4,2277,5
5281959998_10150968384494999,593,20,16,25,144,195
5281959998_1310628488981615,2226,116,34,3,4,3
5281959998_10150968340929999,821,16,34,22,264,276
5281959998_10150966515194999,1253,59,20,2,0,1
5281959998_10150968331184999,74,9,1,0,36,0
5281959998_10150968313719999,1978,30,1404,5,2673,8
5281959998_10150968307649999,7482,829,17,118,366,39
5281959998_10150967762059999,1763,136,31,0,0,0
5281959998_10150967928614999,40578,570,127,155,3317,3185
5281959998_10150966299269999,387,15,0,0,0,1
5281959998_10150965982924999,347,12,15,1,0,0
5281959998_10150967721794999,1049,17,24,30,623,409
5281959998_10150966314639999,571,14,2,13,0,0
5281959998_10150968162219999,89,8,0,0,35,2
5281959998_10150966185924999,409,11,19,4,0,0
5281959998_10150968089119999,2191,245,10,16,11,29
5281959998_10150965851424999,609,50,14,0,0,0
5281959998_10150967715189999,26830,2286,101,108,912,126
5281959998_10150966304659999,209,19,2,0,6,0
5281959998_10150967707369999,1510,27,22,35,389,282
5281959998_10150967912274999,452,20,6,2,0,1
5281959998_10150965976479999,533,27,5,1,0,0
5281959998_10150967753549999,1389,62,70,133,229,1583
5281959998_10150967750909999,933,21,15,29,1121,91
5281959998_10150967691504999,2730,330,13,72,9,17
5281959998_10150967704799999,7266,665,122,122,2688,187
5281959998_10150967675374999,2047,19,149,37,36,283
5281959998_10150967672834999,538,41,32,21,441,493
5281959998_10150967490504999,1065,29,16,91,27,69
5281959998_10150967569189999,240,7,38,3,184,741
5281959998_10150967518204999,1060,30,32,19,2,21
5281959998_10150967589804999,1490,75,7,8,229,10
5281959998_10150967601899999,13203,208,142,1515,1857,652
5281959998_10150967454974999,368,10,10,51,8,148
5281959998_10150967506759999,8584,526,69,6,871,89
5281959998_10150967537474999,245,15,2,1,110,1
5281959998_10150967546674999,91,9,1,0,38,0
5281959998_10150967463599999,575,12,12,14,92,151
5281959998_10150967344459999,1385,172,11,9,187,7
5281959998_10150967442589999,1833,26,79,1490,479,33
5281959998_10150967395754999,1971,125,79,62,1289,2736
5281959998_10150967354844999,2965,72,22,10,570,328
5281959998_10150967374299999,3820,195,702,766,3548,6068
5281959998_10150967347664999,1249,101,3,9,367,35
5281959998_10150967322044999,149,1,9,3,60,33
5281959998_10150966502834999,362,11,3,0,282,6
5281959998_10150965971829999,1049,60,24,4,6,2
5281959998_10150967290759999,139,14,0,0,0,1
5281959998_10150966211184999,371,14,1,1,0,1
5281959998_10150966616544999,3254,33,47,390,56,206
5281959998_10150966457114999,5178,144,32,208,2931,23
5281959998_10150966620924999,2051,184,3,21,0,1
5281959998_10150966544974999,938,87,17,1,0,2
5281959998_10150966629014999,731,1,18,7,58,128
5281959998_10150966531429999,14013,641,1799,16,8,4
5281959998_10150966491094999,996,70,48,6,8,8
5281959998_10150960708699999,536,23,4,4,9,46
5281959998_10150966528659999,1408,177,1,0,131,1
5281959998_10150966427354999,1328,28,22,134,75,139
5281959998_10150966521399999,1611,76,12,100,13,16
5281959998_10150966514999999,2748,57,163,860,71,551
5281959998_10150966355104999,5570,137,22,43,217,89
5281959998_10150966313429999,850,89,3,0,25,0
5281959998_10150966177904999,12082,1362,26,103,41,19
5281959998_10150966412959999,26158,2241,70,52,940,82
5281959998_10150966395204999,448,3,13,4,50,1
5281959998_10150965897834999,671,29,1,2,0,0
5281959998_1779542642263250,5406,251,698,104,1108,500
5281959998_10150966292024999,15734,568,1465,95,3542,506
5281959998_10150966253604999,2763,81,155,475,4,13
5281959998_10150966219859999,1701,630,4,15,1,0
5281959998_10150965832724999,257,12,0,0,0,0
5281959998_10150966125709999,4893,215,56,62,32,240
5281959998_10150966163019999,876,16,77,386,5,3
5281959998_10150965895199999,974,7,56,8,106,10
5281959998_10150966103754999,49,0,2,1,0,0
5281959998_10150965980889999,92,1,0,0,4,1
5281959998_10150966092734999,60,3,0,0,0,0
5281959998_10150966074384999,12100,171,35,172,5675,752
5281959998_10150966053614999,1407,43,224,97,2038,7451
5281959998_10150965864719999,17209,664,34,52,643,218
5281959998_10150966025919999,1158,37,102,660,76,338
5281959998_10150965933034999,444,10,24,6,62,5
5281959998_10150965912824999,675,97,0,0,125,0
5281959998_10150965841574999,690,33,4,39,11,0
5281959998_10150965880064999,403,10,13,13,162,160
5281959998_10150965632394999,5543,403,27,28,76,127
5281959998_1779441312273383,4499,552,8,2,712,1
5281959998_10150965779974999,674,6,12,16,176,63
5281959998_10150965398924999,2445,25,151,24,6508,5135
5281959998_10150965686204999,116,5,4,3,0,0
5281959998_10150965721969999,959,50,21,9,7,32
5281959998_10150965676419999,387,12,18,75,13,71
5281959998_10150965619109999,4670,72,21,23,588,163
5281959998_10150965524019999,3570,41,489,102,616,78
5281959998_10150965491619999,950,64,14,5,8,0
5281959998_10150965574749999,11426,64,675,4759,673,5521
5281959998_10150965439314999,7990,1761,20,8,325,3
5281959998_10150965520184999,436,5,16,61,83,43
5281959998_10150965481389999,192,3,2,3,27,26
5281959998_10150965470844999,6248,17,389,152,2078,233
5281959998_10150965460659999,2904,299,141,42,129,64
5281959998_10150965423634999,894,14,45,59,252,52
5281959998_10150965133404999,418,22,9,10,44,7
5281959998_10150965415489999,2129,379,11,1,1346,1
5281959998_10150965135444999,174,1,5,1,122,30
5281959998_1779137508970430,635,10,105,11,17,33
5281959998_10150964747934999,136,0,3,2,26,6
5281959998_10150965141399999,3672,45,27,40,898,296
5281959998_10150965115129999,558,13,46,12,7,91
5281959998_10150965152214999,2575,157,167,64,1543,4021
5281959998_10150965109979999,1058,36,17,245,17,26
5281959998_10150965145569999,682,142,2,2,0,0
5281959998_10150965123409999,28337,1750,111,229,10025,913
5281959998_10150964668824999,790,83,6,4,1,0
5281959998_10150965116139999,7781,1190,7,6,781,0
5281959998_10150965065399999,8035,965,103,6,11832,21
5281959998_10150965021769999,3250,57,29,39,862,589
5281959998_10150964971644999,1264,19,84,11,375,228
5281959998_10150964920604999,5586,504,18,15,197,7
5281959998_10150964899539999,4340,32,200,102,1051,1547
5281959998_10150964845649999,298,7,21,37,56,224
5281959998_10150964835229999,592,5,44,124,59,304
5281959998_10150964831929999,614,16,32,7,173,111
5281959998_10150964672729999,2291,270,27,9,1,2
5281959998_10150964326324999,336,20,5,1,0,0
5281959998_1778960452321469,942,20,10,12,219,10
5281959998_10150964676539999,1713,101,30,53,55,639
5281959998_10150964649559999,675,22,28,130,4,9
5281959998_10150964613609999,4934,87,28,68,2468,784
5281959998_10150964591629999,514,30,48,7,217,144
5281959998_10150964542684999,14147,1201,159,12,16,5
5281959998_10150964544584999,72,3,4,0,0,0
5281959998_1779045225646325,13169,620,127,108,1590,168
5281959998_10150964496974999,1400,18,58,13,73,8
5281959998_10150964500524999,2056,519,44,23,15,14
5281959998_10150964496299999,249,1,6,12,109,174
5281959998_10150964425714999,1681,15,47,47,2172,590
5281959998_10150964371589999,70,1,3,0,3,1
5281959998_10150964116444999,3043,104,14,278,36,19
5281959998_10150964379724999,177,4,5,4,26,11
5281959998_10150964351159999,386,59,16,0,3,0
5281959998_10150964306489999,459,28,11,82,17,334
5281959998_10150964320044999,3707,102,70,143,1184,945
5281959998_10150964321194999,751,84,6,23,6,3
5281959998_10150964279794999,303,6,10,20,6,19
5281959998_10150964240669999,4284,26,113,40,4644,4129
5281959998_10150964207784999,1222,15,30,19,1082,1586
5281959998_10150964168034999,2911,37,954,137,241,3777
5281959998_10150964161629999,824,17,17,36,528,195
5281959998_10150964054794999,3826,64,16,82,138,406
5281959998_10150963934304999,481,3,19,5,194,96
5281959998_10150963817074999,524,32,4,15,0,2
5281959998_10150963988179999,36493,596,181,243,5664,3825
5281959998_10150963963844999,163,3,4,8,18,20
5281959998_10150963985439999,3038,237,14,28,862,60
5281959998_10150963699104999,232,2,22,9,53,11
5281959998_10150963850679999,56,1,3,0,0,0
5281959998_10150963870609999,500,21,9,5,386,155
5281959998_10150963737359999,5205,40,41,44,367,684
5281959998_10150963685494999,133,3,50,0,79,10
5281959998_10150963793839999,579,8,20,39,22,42
5281959998_10150963769214999,297,16,2,3,23,7
5281959998_10150963682619999,160,3,2,1,215,44
5281959998_10150963656689999,487,18,33,40,260,952
5281959998_10150963648849999,775,13,29,54,205,93
5281959998_10150963627199999,4633,37,65,105,4478,1205
5281959998_10150961943364999,89,1,1,3,1,0
5281959998_10150963425099999,1010,10,21,17,302,216
5281959998_10150963392584999,852,11,25,36,173,21
5281959998_10150963507659999,5261,90,27,52,3089,753
5281959998_10150963421924999,497,14,17,93,115,214
5281959998_10150963364424999,1091,10,44,35,516,375
5281959998_10150963391554999,356,7,5,23,59,69
5281959998_10150963362259999,1397,20,45,349,79,274
5281959998_10150963229284999,229,2,20,0,0,0
5281959998_10150963358514999,727,18,22,17,231,361
5281959998_10150960958804999,282,2,3,14,91,4
5281959998_10150963305849999,2629,39,12,108,1717,35
5281959998_10150962522399999,327,10,21,5,56,84
5281959998_10150963244389999,6939,246,854,247,6860,10089
5281959998_10150963156824999,4078,149,47,38,678,41
5281959998_10150963100989999,1393,85,72,53,1324,2350
5281959998_10150963140124999,7454,160,51,775,606,50
5281959998_10150963008364999,1556,28,9,18,12,3
5281959998_10150963050964999,60162,5771,73,340,12416,152
5281959998_10150963027389999,18436,2142,496,231,216,156
5281959998_10150962994769999,497,8,14,59,138,31
5281959998_10150962531974999,15010,593,82,891,56,291
5281959998_10150962569169999,887,88,24,3,0,0
5281959998_10150962762779999,16606,2113,599,189,188,108
5281959998_10150962176724999,263,6,1,0,0,0
5281959998_10150962475554999,563,10,19,14,146,136
5281959998_10150961983374999,439,24,1,4,0,0
5281959998_1778644772353037,522,8,4,19,25,48
5281959998_10150962527159999,441,14,13,18,125,78
5281959998_10150962700469999,2170,414,44,11,6,19
5281959998_10150962719629999,3424,187,4,140,19,3
5281959998_10150962370389999,8985,949,30,28,85,11
5281959998_10150962677389999,18511,2140,193,33,25,16
5281959998_10150962469739999,720,21,4,34,3,4
5281959998_10150962609219999,201,5,4,4,73,3
5281959998_10150962197424999,727,24,24,16,634,610
5281959998_10150961965499999,197,5,4,2,0,0
5281959998_10150962486409999,197,9,4,7,8,95
5281959998_10150962100004999,2453,242,17,21,602,14
5281959998_10150962549119999,1920,157,87,27,15,29
5281959998_1778568755693972,17887,3009,45,105,1376,26
5281959998_10150962433984999,1924,206,4,1,0,0
5281959998_10150962427979999,431,8,5,13,139,13
5281959998_10150962427979999,431,8,5,13,139,13
5281959998_10150962414719999,1857,317,6,28,758,5
5281959998_10150961976499999,489,5,14,122,175,78
5281959998_10150962078254999,4947,59,52,1109,119,375
5281959998_10150962456684999,292,6,3,7,51,22
5281959998_10150961824314999,263,8,7,22,57,186
5281959998_1308290282548769,1488,87,23,6,5,7
5281959998_10150962136299999,162,7,11,0,61,45
5281959998_10150962120704999,433,18,6,1,51,4
5281959998_10150962107319999,1894,34,18,94,671,8
5281959998_10150961997044999,941,20,37,235,78,7
5281959998_10150962223159999,5797,891,8,39,966,17
5281959998_1778577455693102,15737,1298,371,476,1263,243
5281959998_10150962173809999,1300,15,17,109,196,13
5281959998_10150962236959999,250,4,2,22,254,3
5281959998_10150962145704999,2208,169,27,55,392,47
5281959998_10150962242499999,3586,3276,32,11,168,10
5281959998_1778554705695377,1964,93,40,126,351,1446
5281959998_10150961988914999,1017,8,12,17,113,44
5281959998_10150962170834999,444,8,46,47,493,782
5281959998_1778548592362655,1214,40,8,181,1253,38
5281959998_10150962008199999,2407,37,7,20,268,106
5281959998_10150961997654999,536,18,24,129,48,288
5281959998_10150961840549999,692,17,7,15,160,208
5281959998_10150962051149999,166,4,5,6,24,13
5281959998_1778550642362450,13409,2021,20,80,2146,24
5281959998_10150962011584999,489,40,11,13,563,439
5281959998_10150961959689999,2866,381,6,12,366,4
5281959998_10150961978324999,810,30,4,14,93,74
5281959998_10150961853774999,383,10,8,14,108,92
5281959998_10150961953914999,1021,114,1,6,110,2
5281959998_10150961941859999,446,37,7,21,93,181
5281959998_10150961935224999,4509,480,5,21,245,1
5281959998_10150961919209999,14593,2086,20,25,1732,30
5281959998_10150961806229999,313,25,12,20,118,155
5281959998_10150961807679999,233,22,4,2,48,149
5281959998_10150961804109999,1972,30,52,20,394,292
5281959998_10150961842279999,1014,135,1,26,594,7
5281959998_10150961788959999,908,17,29,17,470,263
5281959998_10150961653784999,575,20,10,22,223,90
5281959998_10150961620224999,2114,13,41,302,598,112
5281959998_10150961626564999,48001,4295,493,1310,676,219
5281959998_10150961557669999,790,18,28,35,414,329
5281959998_10150961545219999,68,0,5,0,56,0
5281959998_10150961520759999,1889,9,425,43,773,98
5281959998_10150961448559999,1455,13,11,10,619,150
5281959998_10150961084359999,1148,17,31,42,462,513
5281959998_10150961374059999,1029,26,51,17,1702,706
5281959998_10150960974954999,5163,52,106,91,4123,2442
5281959998_10150961272544999,809,8,22,76,672,57
5281959998_10150961219754999,1079,67,12,151,120,452
5281959998_10150961299489999,551,26,11,22,277,275
5281959998_10150961246954999,243,9,1,7,77,77
5281959998_10150960984724999,11214,89,76,72,4487,344
5281959998_10150961205564999,2448,46,24,343,3874,135
5281959998_10150961115074999,851,13,25,25,488,166
5281959998_10150961208904999,705,6,37,29,259,102
5281959998_1778391812378333,5772,239,144,277,3810,1383
5281959998_10150961144594999,15563,72,933,244,7764,2708
5281959998_10150961114664999,1626,38,31,38,880,409
5281959998_10150961040719999,13617,172,75,85,5839,716
5281959998_1778360905714757,6058,462,135,232,1690,3072
5281959998_10150961048864999,1419,111,61,52,915,594
5281959998_10150961022024999,834,63,28,25,381,347
5281959998_10150961006439999,479,43,13,17,176,280
5281959998_10150960966964999,1858,206,30,70,347,824
5281959998_10150960935464999,6326,559,304,212,3759,3420
5281959998_10150960932999999,13897,3982,1076,1262,7444,23597
5281959998_10150960921024999,409,28,9,9,227,216
5281959998_1778322765718571,1499,72,24,204,347,38
5281959998_10150960890659999,826,78,12,69,23,18
5281959998_10150960854444999,6005,590,274,188,2442,2295
5281959998_10150960839104999,291,34,5,5,96,201
5281959998_1778302845720563,221,10,3,1,26,1
5281959998_10150960802329999,719,51,26,21,261,167
5281959998_10150960784084999,8461,747,34,3,4,8
5281959998_10150960719234999,7264,544,89,27,25,92
5281959998_10150960700924999,60433,365,756,724,25253,5023
5281959998_10150960732124999,5565,697,28,56,23,102
5281959998_10150960708844999,21401,2348,112,867,81,44
5281959998_10150960662919999,1691,18,60,22,358,221
5281959998_10150960682534999,10162,1146,471,576,3664,3613
5281959998_10150960593839999,807,61,35,36,380,348
5281959998_10150960638894999,5726,142,130,1107,6382,87
5281959998_10150960601544999,1960,238,108,64,744,1215
5281959998_10150960616189999,1654,188,26,53,240,1556
5281959998_10150960607944999,4248,587,19,71,13,58
5281959998_10150960597749999,624,15,37,9,145,20
5281959998_10150960575679999,1485,185,75,40,718,964
5281959998_10150960550134999,728,31,12,3,95,200
5281959998_10150960467694999,929,61,32,5,3,6
5281959998_10150960528769999,2227,272,151,73,1115,1476
